cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 0
AverageEndPointUncertainty weight: 0
UnknownObjectSideFrontier weight: 0
UnknownObjectVolumeFrontier weight: 0
ClassicFrontier weight: 0
EndNodeOccupancySum weight: 0
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0
TotalNrOfNodes weight: 0

Retrieved for step: 8 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds TotalNrOfNodes
4703.27 0.282661 0.868449 0.178803 0.0895735 0.709265 -0.679196 0.166173 0 0 0 0 0 13140 0.519944 0.901838 26 342 1014 183.393 20747.1 35685 1.83818e+06
4703.27 -0.136391 0.812268 0.441952 0.369521 0.609714 -0.394404 0.579782 0 0 0 0 0 70110 0.75136 0.893736 145 8343 512 284.31 20747.1 35685 1.83818e+06
4703.27 -0.138856 0.824054 0.442019 0.451972 0.544026 -0.48113 0.517949 0 0 0 0 0 61585 0.802992 0.855208 148 8507 437 273.605 20747.1 35685 1.83818e+06
4703.27 -0.830547 0.280563 0.103551 0.5477 0.205187 0.381267 0.715932 0 0 0 0 0 489 0.395479 0.896552 8 84 267 107.034 20747.1 35685 1.83818e+06
4703.27 -0.404629 0.80676 0.177665 -0.248298 0.766066 -0.454458 0.380735 0 0 0 0 0 3860 0.449991 0.90737 18 560 245 55.7241 20747.1 35685 1.83818e+06
4703.27 -0.414215 0.813958 0.178803 -0.188669 0.689553 -0.563903 0.413441 0 0 0 0 0 4178 0.417743 0.865989 20 800 286 183.71 20747.1 35685 1.83818e+06
4703.27 -0.670803 0.477918 0.441952 0.108066 0.704712 -0.142509 0.686581 0 0 0 0 0 59046 0.753775 0.844871 147 14403 1127 276.076 20747.1 35685 1.83818e+06
4703.27 -0.68088 0.484508 0.442019 0.209379 0.675576 -0.246296 0.662643 0 0 0 0 0 71420 0.762006 0.858459 108 11029 1210 287.668 20747.1 35685 1.83818e+06
4703.27 -0.785673 -0.388897 0.103551 0.427487 0.399164 0.62622 0.51553 0 0 0 0 0 1951 0.377894 0.898754 36 1414 208 98.5615 20747.1 35685 1.83818e+06
4703.27 -0.856581 0.28435 0.177665 -0.522558 0.612733 -0.274163 0.525666 0 0 0 0 0 12213 0.643655 0.844194 111 1268 464 124.827 20747.1 35685 1.83818e+06
4703.27 -0.868449 0.282661 0.178803 -0.438188 0.564864 -0.362762 0.597766 0 0 0 0 0 20267 0.568201 0.854159 61 932 401 217.71 20747.1 35685 1.83818e+06
4703.27 -0.812268 -0.136391 0.441952 -0.169842 0.692424 0.131082 0.688854 0 0 0 0 0 67690 0.846761 0.851446 69 6011 199 240.048 20747.1 35685 1.83818e+06
4703.27 -0.824054 -0.138856 0.442019 -0.0650913 0.704277 0.026035 0.706455 0 0 0 0 0 71198 0.811711 0.867095 85 5602 333 258.302 20747.1 35685 1.83818e+06
4703.27 -0.280563 -0.830547 0.103551 0.242193 0.532372 0.775837 0.236644 0 0 0 0 0 10230 0.499896 0.8833 88 4543 378 107.762 20747.1 35685 1.83818e+06
4703.27 -0.288218 -0.839763 0.102341 0.274703 0.642384 0.68756 0.197843 0 0 0 0 0 25563 0.567465 0.84479 279 10929 1535 317.683 20747.1 35685 1.83818e+06
4703.27 -0.80676 -0.404629 0.177665 -0.717264 0.366118 -0.0521301 0.59057 0 0 0 0 0 3624 0.480593 0.85555 55 1642 213 83.5448 20747.1 35685 1.83818e+06
4703.27 -0.813958 -0.414215 0.178803 -0.620997 0.354179 -0.106393 0.691087 0 0 0 0 0 4655 0.428464 0.857533 63 2212 311 209.643 20747.1 35685 1.83818e+06
4703.27 -0.477918 -0.670803 0.441952 -0.421893 0.574721 0.384717 0.586255 0 0 0 0 0 22051 0.643333 0.887833 132 7928 711 214.648 20747.1 35685 1.83818e+06
4703.27 -0.484508 -0.68088 0.442019 -0.329652 0.625758 0.294402 0.642717 0 0 0 0 0 25966 0.611916 0.88546 174 8423 901 254.672 20747.1 35685 1.83818e+06
4703.27 0.388897 -0.785673 0.103551 0.0200275 0.584531 0.807339 -0.0782696 0 0 0 0 0 4820 0.359314 0.861898 59 2073 322 134.296 20747.1 35685 1.83818e+06
4703.27 0.390001 -0.797603 0.102341 0.00796278 0.69861 0.710934 -0.0803345 0 0 0 0 0 19558 0.470972 0.854279 210 8372 1230 269.817 20747.1 35685 1.83818e+06
4703.27 -0.28435 -0.856581 0.177665 -0.802772 0.0637637 0.17784 0.565565 0 0 0 0 0 4877 0.511676 0.868499 56 2055 312 75.2448 20747.1 35685 1.83818e+06
