cost_weight: 0
information_weight: 1
NrOfUnknownVoxels weight: 0
AverageUncertainty weight: 1
AverageEndPointUncertainty weight: 500
UnknownObjectSideFrontier weight: 5
UnknownObjectVolumeFrontier weight: 5
ClassicFrontier weight: 1
EndNodeOccupancySum weight: 1
TotalOccupancyCertainty weight: 0
TotalNrOfOccupieds weight: 0

Retrieved for step: 1 (0=first step)
time pos_x pos_y pos_z rot_x rot_y rot_z rot_w return_value winning_margin return_value_mean return_value_stddev cost NrOfUnknownVoxels AverageUncertainty AverageEndPointUncertainty UnknownObjectSideFrontier UnknownObjectVolumeFrontier ClassicFrontier EndNodeOccupancySum TotalOccupancyCertainty TotalNrOfOccupieds base_distance_cost arm_distance_cost energy_cost
2057.25 -0.797125 0.1466 0.177665 -0.576731 0.562042 -0.224622 0.548667 4781.86 0 0 0 0.542641 10709 0.67583 0.953171 30 673 575 214.6 6916.7 12329 0.438556 0.41634 8
2057.25 -0.808483 0.142764 0.178803 -0.488313 0.52214 -0.306209 0.628615 7358.98 0 0 0 0.541141 4243 0.714406 0.940741 24 1314 155 42.9 6916.7 12329 0.438556 0.41034 7
2057.25 -0.676449 -0.258892 0.441952 -0.232845 0.673855 0.193921 0.673867 4546.43 0 0 0 0.673288 17803 0.754696 0.941553 37 603 759 115.9 6916.7 12329 0.438556 0.938926 8
2057.25 -0.687584 -0.263476 0.442019 -0.12963 0.695298 0.0909401 0.701061 4860.63 0 0 0 0.671788 19405 0.758375 0.930736 30 668 781 123.5 6916.7 12329 0.438556 0.932926 7
2057.25 -0.0719681 -0.782253 0.103551 0.192171 0.552402 0.794322 0.164238 1514.3 0 0 0 0.342679 24602 0.873435 0.957647 2 162 126 88.6 6916.7 12329 0.178894 0.65514 8
2057.25 -0.0778039 -0.792716 0.102341 0.214418 0.664939 0.70285 0.133727 703.072 0 0 0 0.341179 22743 0.905043 0.958333 2 7 103 75 6916.7 12329 0.178894 0.64914 7
2057.25 -0.667314 -0.459991 0.177665 -0.747914 0.298554 0.00244171 0.592862 12338.5 0 0 0 0.282979 21762 0.895716 0.957576 12 2293 265 68.8 6916.7 12329 0.178894 0.41634 8
2057.25 -0.672633 -0.470734 0.178803 -0.650957 0.295525 -0.0423402 0.697945 13046.4 0 0 0 0.281479 22644 0.897369 0.944262 20 2432 249 64.4 6916.7 12329 0.178894 0.41034 7
2057.25 -0.295257 -0.661386 0.441952 -0.472994 0.533455 0.437038 0.548362 1762.16 0 0 0 0.413626 13301 0.6695 0.939773 8 18 975 186.6 6916.7 12329 0.178894 0.938926 8
2057.25 -0.29989 -0.672501 0.442019 -0.385842 0.592764 0.352302 0.612895 1711.39 0 0 0 0.412126 15080 0.681 0.948424 7 11 963 183.5 6916.7 12329 0.178894 0.932926 7
